region,harvested_area,volume_production,yield_1ha
Vinnytsia Oblast,42.1,209.8,49.9
Volyn Oblast,10.4,49.9,48.3
Dnipropetrovsk Oblast,132.3,318.9,24.1
Donetsk Oblast,29.4,85.2,28.9
Zhytomyr Oblast,14.9,56.1,37.7
Zakarpattia Oblast,1.2,3.7,31.3
Zaporizhzhia Oblast,11.3,28.0,24.8
Ivano-Frankivsk Oblast,14.1,78.1,55.1
Kyiv Oblast,33.1,159.1,48.0
Kirovohrad Oblast,88.1,346.8,39.4
Luhansk Oblast,10.6,24.0,22.6
Lviv Oblast,24.5,118.7,48.3
Mykolaiv Oblast,147.0,462.8,31.5
Odesa Oblast,254.1,858.7,33.8
Poltava Oblast,71.7,250.9,35.0
Rivne Oblast,21.8,87.2,39.9
Sumy Oblast,9.2,45.1,48.6
Ternopil Oblast,23.1,147.2,63.9
Kharkiv Oblast,39.1,112.3,28.7
Kherson Oblast,13.4,25.9,19.1
Khmelnytskyi Oblast,24.3,140.1,57.8
Cherkasy Oblast,36.6,187.1,51.1
Chernivtsi Oblast,16.7,86.9,52.1
Chernihiv Oblast,8.0,38.9,47.9
