region,harvested_area,volume_production,yield_1ha
Vinnytsia Oblast,6.1,20.2,33.1
Volyn Oblast,2.2,7.6,33.9
Dnipropetrovsk Oblast,16.2,22.1,13.6
Donetsk Oblast,0.7,0.8,11.9
Zhytomyr Oblast,2.4,8.1,34.0
Zakarpattia Oblast,0.0,0.0,0.0
Zaporizhzhia Oblast,7.8,12.6,16.1
Ivano-Frankivsk Oblast,0.6,1.5,27.7
Kyiv Oblast,6.6,21.2,32.5
Kirovohrad Oblast,23.4,60.1,25.7
Luhansk Oblast,0.0,0.1,14.6
Lviv Oblast,0.5,2.1,39.2
Mykolaiv Oblast,51.4,98.8,19.2
Odesa Oblast,100.3,215.6,21.5
Poltava Oblast,11.8,30.5,25.8
Rivne Oblast,0.0,0.0,0.0
Sumy Oblast,4.6,15.3,33.8
Ternopil Oblast,3.9,14.3,36.8
Kharkiv Oblast,19.2,45.1,23.4
Kherson Oblast,6.4,8.4,13.2
Khmelnytskyi Oblast,2.1,7.7,37.6
Cherkasy Oblast,6.6,20.0,30.3
Chernivtsi Oblast,0.4,1.1,25.7
Chernihiv Oblast,7.8,29.1,37.5
