region,harvested_area,volume_production,yield_1ha
Vinnytsia Oblast,76.4,226.7,29.6
Volyn Oblast,27.0,82.2,30.5
Dnipropetrovsk Oblast,35.8,67.5,18.8
Donetsk Oblast,0.0,0.0,0.0
Zhytomyr Oblast,23.2,68.0,29.3
Zakarpattia Oblast,1.3,4.2,33.0
Zaporizhzhia Oblast,26.6,60.4,22.7
Ivano-Frankivsk Oblast,14.0,48.1,34.3
Kyiv Oblast,33.5,98.4,29.3
Kirovohrad Oblast,24.1,50.9,21.1
Luhansk Oblast,0.0,0.0,0.0
Lviv Oblast,32.0,108.0,33.7
Mykolaiv Oblast,134.4,262.7,19.6
Odesa Oblast,240.5,520.3,21.6
Poltava Oblast,8.3,18.6,22.4
Rivne Oblast,14.0,41.3,29.4
Sumy Oblast,26.0,80.0,30.5
Ternopil Oblast,37.2,127.5,34.3
Kharkiv Oblast,1.5,3.9,25.6
Kherson Oblast,11.2,15.4,13.8
Khmelnytskyi Oblast,33.6,101.7,30.3
Cherkasy Oblast,22.9,70.6,30.9
Chernivtsi Oblast,7.3,22.6,30.8
Chernihiv Oblast,41.2,123.5,30.0
