region,harvested_area,volume_production,yield_1ha
Vinnytsia Oblast,125.8,700.0,55.6
Volyn Oblast,40.9,201.9,49.5
Dnipropetrovsk Oblast,444.2,1174.3,26.4
Donetsk Oblast,29.1,95.3,32.9
Zhytomyr Oblast,69.0,301.6,43.7
Zakarpattia Oblast,20.9,75.1,35.8
Zaporizhzhia Oblast,102.1,251.6,24.7
Ivano-Frankivsk Oblast,23.1,113.7,49.3
Kyiv Oblast,94.7,485.9,51.3
Kirovohrad Oblast,377.0,1659.4,44.0
Luhansk Oblast,30.2,91.7,30.4
Lviv Oblast,92.4,434.8,47.0
Mykolaiv Oblast,406.3,1327.5,32.7
Odesa Oblast,681.1,2370.9,34.8
Poltava Oblast,243.7,1031.5,42.3
Rivne Oblast,34.4,151.3,44.1
Sumy Oblast,76.7,444.0,57.9
Ternopil Oblast,24.4,124.3,51.1
Kharkiv Oblast,294.9,995.6,33.8
Kherson Oblast,53.1,111.2,20.9
Khmelnytskyi Oblast,23.1,154.4,66.8
Cherkasy Oblast,154.7,852.0,55.1
Chernivtsi Oblast,16.6,96.9,58.5
Chernihiv Oblast,86.2,484.0,56.1
